Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Plain Chicken Roll","Plain Chicken Roll",,1,,,,,"Franky Roll","Franky Roll",90,non-veg,,,0,,,1,0,Yes
"Egg Chicken Roll","Egg Chicken Roll",,2,,,,,"Franky Roll","Franky Roll",99,non-veg,,,0,,,2,0,Yes
"Double Egg Chicken Roll","Double Egg Chicken Roll",,3,,,,,"Franky Roll","Franky Roll",110,non-veg,,,0,,,3,0,Yes
"Single Egg Double Chicken Roll","Single Egg Double Chicken Roll",,4,,,,,"Franky Roll","Franky Roll",130,non-veg,,,0,,,4,0,Yes
"Double Egg Double Chicken Roll","Double Egg Double Chicken Roll",,5,,,,,"Franky Roll","Franky Roll",150,non-veg,,,0,,,5,0,Yes
"Double Egg With Paneer Chicken","Double Egg With Paneer Chicken",,6,,,,,"Franky Roll","Franky Roll",140,non-veg,,,0,,,6,0,Yes
"Egg Roll","Egg Roll",,7,,,,,"Franky Roll","Franky Roll",59,egg,,,0,,,7,0,Yes
"Egg Paneer Roll","Egg Paneer Roll",,8,,,,,"Franky Roll","Franky Roll",90,egg,,,0,,,8,0,Yes
"Chicken Tikka Kathi Roll","Chicken Tikka Kathi Roll",,9,,,,,"Kathi Roll","Kathi Roll",250,non-veg,,,0,,,9,0,Yes
"Chicken Seekh Kabab Roll","Chicken Seekh Kabab Roll",,10,,,,,"Kathi Roll","Kathi Roll",180,non-veg,,,0,,,10,0,Yes
"Mutton Seekh Kabab Roll","Mutton Seekh Kabab Roll",,11,,,,,"Kathi Roll","Kathi Roll",190,non-veg,,,0,,,11,0,Yes
"Mutton Shaami Kabab Roll","Mutton Shaami Kabab Roll",,12,,,,,"Kabab Paratha","Kabab Paratha",150,non-veg,,,0,,,12,0,Yes
"Veg Franky Roll","Veg Franky Roll",,13,,,,,"Franky Roll","Franky Roll",70,veg,,,0,,,13,0,Yes
